flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,first_count,second_count,first_rate,second_rate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,N_PortP_FirstIp,N_PortP_SecondIp
16324,s2,C1,10.0.2.3,10.0.9.2,0,0,0,7,0.0,0.6264846567642712,11.173458,567,1,1,7,80.99998842857308,1,6
58741,cs1,C1,10.0.2.4,10.0.9.2,0,0,0,8,0.0,0.7645432370225476,10.463764,648,1,1,7,80.99998987500128,1,6
58741,s2,C1,10.0.2.4,10.0.9.2,0,0,0,8,0.0,0.779948917245665,10.257082,648,1,1,7,80.99998987500128,1,6
55922,cs1,C1,10.0.4.2,10.0.9.2,60126,5017,3,0,0.3421668261734355,0.0,8.767653,223,6,1,7,74.33330855556382,1,6
40085,s1,C1,10.0.1.1,10.0.9.2,43053,5001,3,0,0.3484677524457209,0.0,8.609118,1314,17,1,7,437.99985400004863,2,6
35254,cs1,C1,10.0.4.4,10.0.9.2,38896,5019,104,0,20.75580259395643,0.0,5.010647,154960,17,1,7,1489.9999856730772,1,6
40085,cs1,C1,10.0.1.1,10.0.9.2,43053,5001,3,0,0.35059474893208836,0.0,8.556888,1314,17,1,7,437.99985400004863,2,6
53213,cs1,C1,10.0.3.2,10.0.9.1,58542,8080,2,2,0.33889855597019797,0.33889855597019797,5.901471,1399,6,1,1,349.74991256252184,1,1
62031,cs1,C1,10.0.4.4,10.0.9.2,51618,5019,4,3,0.15104922758522926,0.11328692068892193,26.481433,466,6,1,7,66.57141906122585,1,6
55922,cs1,C1,10.0.4.2,10.0.9.2,60126,5017,1,0,0.0,0.0,0.0,67,6,1,7,66.999933000067,1,7
54466,cs1,C1,10.0.3.3,10.0.9.1,52276,8080,4,1,0.7395757719414566,0.18489394298536416,5.408506,975,6,1,2,194.9999610000078,1,2
52080,s1,C1,10.0.1.2,10.0.9.2,52801,5001,2,0,0.17583779455797852,0.0,11.374119,748,17,1,7,373.99981300009347,1,7
52080,cs1,C1,10.0.1.2,10.0.9.2,52801,5001,2,0,0.17666027980868398,0.0,11.321164,748,17,1,7,373.99981300009347,1,7
47718,s2,C1,10.0.2.4,10.0.9.2,34366,5002,23,0,2.7915097807827367,0.0,8.239269,1219,17,1,7,52.99999769565227,1,7
47718,cs1,C1,10.0.2.4,10.0.9.2,34366,5002,23,0,2.8571748007120576,0.0,8.04991,1219,17,1,7,52.99999769565227,1,7
29146,cs1,C1,10.0.3.1,10.0.9.1,35596,8080,3,1,0.2604628128994035,0.08682093763313449,11.517959,878,6,1,2,219.4999451250137,1,2
26465,s1,C1,10.0.1.3,10.0.9.2,42793,5001,3,0,0.30364621410357717,0.0,9.879919,962,17,1,7,320.6665597778134,1,7
26465,cs1,C1,10.0.1.3,10.0.9.2,42793,5001,3,0,0.3061201686967026,0.0,9.800073,962,17,1,7,320.6665597778134,1,7
62031,cs1,C1,10.0.4.4,10.0.9.2,51618,5019,1,0,0.0,0.0,0.0,67,6,1,7,66.999933000067,1,7
35043,s2,C1,10.0.2.2,10.0.9.2,47824,5002,11,0,0.31373569080035685,0.0,35.06136,583,17,1,7,52.999995181818626,1,7
35043,cs1,C1,10.0.2.2,10.0.9.2,47824,5002,11,0,0.3138821694325678,0.0,35.044998,583,17,1,7,52.999995181818626,1,7
11250,s2,C1,10.0.2.3,10.0.9.2,37496,5002,13,0,1.1200245922938172,0.0,11.606888,689,17,1,7,52.99999592307724,1,7
11250,cs1,C1,10.0.2.3,10.0.9.2,37496,5002,13,0,1.133026951224933,0.0,11.47369,689,17,1,7,52.99999592307724,1,7
16324,cs1,C1,10.0.2.3,10.0.9.2,0,0,0,6,0.0,0.693346725710533,8.653679,486,1,1,10,80.99998650000225,1,10
16324,s2,C1,10.0.2.3,10.0.9.2,0,0,0,6,0.0,0.6982703842581924,8.59266,486,1,1,10,80.99998650000225,1,10
31691,cs1,C1,10.0.1.3,10.0.9.2,0,0,0,3,0.0,0.38204918959725903,7.852392,802,1,1,10,267.3332442222519,1,10
31691,s1,C1,10.0.1.3,10.0.9.2,0,0,0,3,0.0,0.38040127008376057,7.886409,802,1,1,10,267.3332442222519,1,10
6306,s2,C1,10.0.2.1,10.0.9.2,43321,5002,8,0,0.24595267956528605,0.0,32.526582,424,17,1,10,52.999993375000834,2,10
6306,cs1,C1,10.0.2.1,10.0.9.2,43321,5002,8,0,0.24651962058904756,0.0,32.451778,424,17,1,10,52.999993375000834,2,10
48794,s1,C1,10.0.1.2,10.0.9.2,0,0,0,4,0.0,0.7340269765924302,5.449391,776,1,1,10,193.99995150001212,1,10
48794,cs1,C1,10.0.1.2,10.0.9.2,0,0,0,4,0.0,0.7346498135550604,5.444771,776,1,1,10,193.99995150001212,1,10
13152,cs1,C1,10.0.4.2,10.0.9.2,59088,5017,1,0,0.0,0.0,0.0,74,6,1,10,73.99992600007401,1,10
62821,cs1,C1,10.0.2.1,10.0.9.2,0,0,0,6,0.0,0.20137465048912223,29.79521,486,1,1,10,80.99998650000225,2,10
62821,s2,C1,10.0.2.1,10.0.9.2,0,0,0,6,0.0,0.20124124931775023,29.814961,486,1,1,10,80.99998650000225,2,10
21162,s1,C1,10.0.1.5,10.0.9.2,59958,5002,16,0,0.8404187197176781,0.0,19.038129,848,17,1,10,52.9999966875002,2,10
21162,cs1,C1,10.0.1.5,10.0.9.2,59958,5002,16,0,0.8447202502990573,0.0,18.941182,848,17,1,10,52.9999966875002,2,10
25643,cs1,C1,10.0.1.5,10.0.9.2,0,0,0,8,0.0,0.49708169550092596,16.093934,648,1,1,10,80.99998987500128,2,10
25643,s1,C1,10.0.1.5,10.0.9.2,0,0,0,8,0.0,0.4995657524696657,16.013908,648,1,1,10,80.99998987500128,2,10
36073,cs1,C1,10.0.4.2,10.0.9.2,56647,5017,1,0,0.0,0.0,0.0,46,17,1,10,45.999954000046,1,10
11481,cs1,C1,10.0.4.4,10.0.9.2,58808,5019,1,0,0.0,0.0,0.0,74,6,1,10,73.99992600007401,1,10
5177,cs1,C1,10.0.4.4,10.0.9.2,40057,5019,1,0,0.0,0.0,0.0,46,17,1,10,45.999954000046,1,10
7031,cs1,C1,10.0.1.4,10.0.9.2,57076,5001,2,0,0.1526387927370494,0.0,13.102829,748,17,1,10,373.99981300009347,1,10
7031,s1,C1,10.0.1.4,10.0.9.2,57076,5001,2,0,0.15136189759383775,0.0,13.213365,748,17,1,10,373.99981300009347,1,10
40085,s1,C1,10.0.1.1,10.0.9.2,43053,5001,4,0,0.4993568284050144,0.0,8.010304,1432,17,1,10,357.99991050002234,2,10
40085,cs1,C1,10.0.1.1,10.0.9.2,43053,5001,4,0,0.4993599453899964,0.0,8.010254,1432,17,1,10,357.99991050002234,2,10
45418,cs1,C1,10.0.1.1,10.0.9.2,0,0,0,4,0.0,0.5002642645977737,7.995774,1028,1,1,10,256.99993575001605,2,10
45418,s1,C1,10.0.1.1,10.0.9.2,0,0,0,4,0.0,0.5002526275769263,7.99596,1028,1,1,10,256.99993575001605,2,10
53213,cs1,C1,10.0.3.2,10.0.9.1,58542,8080,9,3,0.8420325430608425,0.28067751435361415,10.688423,2603,6,1,1,216.9166485902793,1,1
35043,s2,C1,10.0.2.2,10.0.9.2,47824,5002,5,0,0.8164444985112135,0.0,6.124115,265,17,1,10,52.99998940000212,1,10
35043,cs1,C1,10.0.2.2,10.0.9.2,47824,5002,5,0,0.8156380655022618,0.0,6.13017,265,17,1,10,52.99998940000212,1,10
54466,cs1,C1,10.0.3.3,10.0.9.1,52276,8080,8,4,0.7571411900802012,0.3785705950401006,10.566061,3124,6,1,4,260.33331163889073,1,4
26465,s1,C1,10.0.1.3,10.0.9.2,42793,5001,3,0,0.5909583374372106,0.0,5.0765,722,17,1,5,240.66658644447116,1,6
26465,cs1,C1,10.0.1.3,10.0.9.2,42793,5001,3,0,0.5935193620853897,0.0,5.054595,722,17,1,5,240.66658644447116,1,6
36073,cs1,C1,10.0.4.2,10.0.9.2,56647,5017,27,1,5.257494558493132,0.19472202068493083,5.135526,38832,17,1,5,1386.8570933265323,1,6
26023,cs1,C1,10.0.3.4,10.0.9.1,48028,8080,2,0,0.05542358430360862,0.0,36.085721,194,6,1,4,96.99995150002424,1,4
21162,s1,C1,10.0.1.5,10.0.9.2,59958,5002,15,0,2.9993047611563637,0.0,5.001159,795,17,1,5,52.99999646666691,2,6
21162,cs1,C1,10.0.1.5,10.0.9.2,59958,5002,10,0,1.9913737671156087,0.0,5.021659,530,17,1,5,52.999994700000535,2,6
5177,cs1,C1,10.0.4.4,10.0.9.2,40057,5019,26,1,5.174762682397946,0.1990293339383825,5.024385,37342,17,1,5,1383.036985813445,1,6
8196,s2,C1,10.0.2.5,10.0.9.1,1000,12545,33,0,0.035190227289135324,0.0,937.760354,1386,17,1,4,41.99999872727277,1,4
25643,cs1,C1,10.0.1.5,10.0.9.2,0,0,0,5,0.0,0.9543778744668606,5.239015,405,1,1,5,80.99998380000324,2,6
25643,s1,C1,10.0.1.5,10.0.9.2,0,0,0,5,0.0,0.9421566682174565,5.306973,405,1,1,5,80.99998380000324,2,6
8196,cs1,C1,10.0.2.5,10.0.9.1,1000,12545,28,0,0.02988514464363045,0.0,936.920344,1176,17,1,4,41.99999850000005,1,4
36073,cs1,C1,10.0.4.2,10.0.9.2,56647,5017,1,0,0.0,0.0,0.0,1490,17,1,5,1489.99851000149,1,6
5177,cs1,C1,10.0.4.4,10.0.9.2,40057,5019,1,0,0.0,0.0,0.0,1490,17,1,5,1489.99851000149,1,6
43640,cs1,C1,10.0.4.1,10.0.9.1,52724,8080,2,0,0.05628635729301909,0.0,35.532589,175,6,1,4,87.49995625002187,1,4
7031,s1,C1,10.0.1.4,10.0.9.2,57076,5001,2,0,0.35775359363484804,0.0,5.59044,380,17,1,5,189.99990500004748,1,6
7031,cs1,C1,10.0.1.4,10.0.9.2,57076,5001,2,0,0.3443975642826664,0.0,5.807242,380,17,1,5,189.99990500004748,1,6
53213,cs1,C1,10.0.3.2,10.0.9.1,58542,8080,8,4,1.2217679960316974,0.6108839980158487,6.547888,3124,6,1,4,260.33331163889073,1,5
54466,cs1,C1,10.0.3.3,10.0.9.1,52276,8080,9,5,1.5056449137223642,0.8364693965124245,5.977505,3820,6,1,4,272.8571233673483,1,5
35043,s2,C1,10.0.2.2,10.0.9.2,47824,5002,37,0,4.982612030664879,0.0,7.425824,1961,17,1,5,52.99999856756761,1,5
4900,cs1,C1,10.0.2.5,10.0.9.1,0,0,0,8,0.0,0.00850225203825976,940.927176,560,1,1,4,69.9999912500011,2,5
36073,cs1,C1,10.0.4.2,10.0.9.2,56647,5017,25,0,4.911894368336278,0.0,5.089686,37250,17,1,5,1489.9999404000023,1,5
4900,s2,C1,10.0.2.5,10.0.9.1,0,0,0,9,0.0,0.009561953481767773,941.230264,630,1,1,4,69.9999922222231,2,5
8196,s2,C1,10.0.2.5,10.0.9.1,1000,12545,140,0,27.75352648201849,0.0,5.044404,5880,17,1,4,41.999999700000004,2,5
5177,cs1,C1,10.0.4.4,10.0.9.2,40057,5019,23,0,4.585622240028614,0.0,5.015677,34270,17,1,5,1489.999935217394,1,5
8196,cs1,C1,10.0.2.5,10.0.9.1,1000,12545,62,0,12.39889649821166,0.0,5.000445,2604,17,1,4,41.999999322580656,2,5
60351,cs1,C1,10.0.3.5,10.0.9.1,44442,8080,11,5,0.7841821618091454,0.35644643718597513,14.027353,4002,6,1,4,250.12498436718846,1,5
35043,cs1,C1,10.0.2.2,10.0.9.2,47824,5002,37,0,3.543054043639701,0.0,10.442968,1961,17,1,5,52.99999856756761,1,5
47718,s2,C1,10.0.2.4,10.0.9.2,34366,5002,7,0,0.388021552934316,0.0,18.040235,371,17,1,5,52.99999242857251,1,5
52080,s1,C1,10.0.1.2,10.0.9.2,52801,5001,4,0,0.23619083700009766,0.0,16.935458,1048,17,1,5,261.99993450001637,1,5
52080,cs1,C1,10.0.1.2,10.0.9.2,52801,5001,4,0,0.2341488679868097,0.0,17.083149,1048,17,1,5,261.99993450001637,1,5
35043,s2,C1,10.0.2.2,10.0.9.2,47824,5002,25,0,4.977150895668166,0.0,5.022954,1325,17,1,7,52.99999788000008,1,9
47718,cs1,C1,10.0.2.4,10.0.9.2,34366,5002,7,0,0.3398676448575379,0.0,20.596253,371,17,1,7,52.99999242857251,1,9
54466,cs1,C1,10.0.3.3,10.0.9.1,52276,8080,3,2,0.5146870231103051,0.34312468207353675,5.828785,968,6,1,6,193.59996128000773,1,7
26465,s1,C1,10.0.1.3,10.0.9.2,42793,5001,3,0,0.3767544039764167,0.0,7.962747,1378,17,1,7,459.33318022227326,2,9
26465,cs1,C1,10.0.1.3,10.0.9.2,42793,5001,3,0,0.38704183922282,0.0,7.7511,1378,17,1,7,459.33318022227326,2,9
26023,cs1,C1,10.0.3.4,10.0.9.1,48028,8080,4,3,0.5153632357389973,0.38652242680424803,7.761516,2192,6,1,6,313.1428124081697,1,7
29146,cs1,C1,10.0.3.1,10.0.9.1,35596,8080,2,1,0.09463361625472416,0.04731680812736208,21.134139,781,6,1,6,260.3332465555845,1,7
8196,s2,C1,10.0.2.5,10.0.9.1,1000,12545,106,0,21.139233160357236,0.0,5.014373,4452,17,1,6,41.99999960377359,2,7
8196,cs1,C1,10.0.2.5,10.0.9.1,1000,12545,51,0,10.163407667035605,0.0,5.018002,2142,17,1,6,41.99999917647061,2,7
36073,cs1,C1,10.0.4.2,10.0.9.2,56647,5017,29,0,5.698370698270486,0.0,5.089174,43210,17,1,7,1489.9999486206914,1,9
13152,cs1,C1,10.0.4.2,10.0.9.2,59088,5017,10,7,0.5683990047333428,0.3978793033133399,17.593275,1324,6,1,7,77.88234835986185,1,9
5177,cs1,C1,10.0.4.4,10.0.9.2,40057,5019,29,0,5.613440667480679,0.0,5.166172,43210,17,1,7,1489.9999486206914,1,9
21162,s1,C1,10.0.1.5,10.0.9.2,59958,5002,4,0,0.3693674692898652,0.0,10.829324,212,17,1,7,52.99998675000331,1,9
21162,cs1,C1,10.0.1.5,10.0.9.2,59958,5002,9,0,0.828739354842987,0.0,10.859868,477,17,1,7,52.99999411111177,1,9
31691,cs1,C1,10.0.1.3,10.0.9.2,0,0,0,3,0.0,0.17491369175403215,17.151316,1294,1,1,7,431.33318955560344,2,9
31691,s1,C1,10.0.1.3,10.0.9.2,0,0,0,3,0.0,0.1736503834316233,17.276092,1294,1,1,7,431.33318955560344,2,9
4900,cs1,C1,10.0.2.5,10.0.9.1,0,0,0,11,0.0,1.89928276176433,5.79166,770,1,1,6,69.99999363636422,2,7
4900,s2,C1,10.0.2.5,10.0.9.1,0,0,0,11,0.0,1.8974932733863459,5.797122,770,1,1,6,69.99999363636422,2,7
40085,s1,C1,10.0.1.1,10.0.9.2,43053,5001,2,0,0.20688712765877112,0.0,9.667107,652,17,1,7,325.99983700008147,1,9
