flow_id,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,N_IN_Conn_P_DstIP,TnP_PDstIP,Srate,Drate,Dur,Bytes,proto_number
65365,10.0.4.4,10.0.5.5,41764,80,2,0,1,2,0.17840815325260365,0.0,11.21025,106,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.2738400341533291,0.0,7.303534,152,1
48657,10.0.3.3,10.0.5.5,60531,5001,2,0,2,5,0.2607420170246285,0.0,7.670417,110,17
11915,10.0.2.2,10.0.5.5,33479,5000,3,0,2,5,0.38316148327940763,0.0,7.829597,3198,17
11915,10.0.2.2,10.0.5.5,33479,5000,3,0,1,3,0.355463040374914,0.0,8.439696,3198,17
48657,10.0.3.3,10.0.5.5,60531,5001,2,0,2,4,0.18556599065285548,0.0,10.777837,110,17
65365,10.0.4.4,10.0.5.5,41764,80,2,0,2,4,0.15010409343619566,0.0,13.324087,106,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.2581035480462336,0.0,7.748828,152,1
11915,10.0.2.2,10.0.5.5,33479,5000,3,0,1,3,0.4924139527134881,0.0,6.092435,3198,17
48657,10.0.3.3,10.0.5.5,60531,5001,2,0,1,2,0.1958274842111643,0.0,10.213071,110,17
11915,10.0.2.2,10.0.5.5,33479,5000,2,0,1,2,0.26926768479470964,0.0,7.427553,2132,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.1189277497864801,0.0,16.816933,152,1
65365,10.0.4.4,10.0.5.5,41764,80,2,0,3,7,0.16449830484496858,0.0,12.15818,106,17
11915,10.0.2.2,10.0.5.5,33479,5000,5,0,3,7,0.8948898211652182,0.0,5.58728,5330,17
26370,10.0.1.1,10.0.5.5,80,3150,0,2,3,7,0.0,0.11735448718377513,17.042382,102,6
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,4,35,0.7065380202239443,0.0,5.661408,220,17
65365,10.0.4.4,10.0.5.5,41764,80,5,0,4,35,0.882246085606455,0.0,5.667353,265,17
11915,10.0.2.2,10.0.5.5,33479,5000,12,0,4,35,2.228429222952301,0.0,5.384959,12792,17
48657,10.0.3.3,10.0.5.5,60531,5001,6,0,4,35,1.1416396113934872,0.0,5.255599,330,17
51047,10.0.1.1,10.0.5.5,80,3264,0,2,4,35,0.0,0.008854753499313356,225.867383,102,6
11915,10.0.2.2,10.0.5.5,33479,5000,8,0,4,35,1.5554929901708399,0.0,5.143064,8528,17
49617,10.0.5.5,10.0.7.7,0,0,3,0,1,3,0.2454674838224655,0.0,12.221578,228,1
65365,10.0.4.4,10.0.5.5,41764,80,6,0,3,61,1.0691939560604053,0.0,5.611704,318,17
48657,10.0.3.3,10.0.5.5,60531,5001,10,0,3,61,1.989241386883181,0.0,5.027042,550,17
11915,10.0.2.2,10.0.5.5,33479,5000,20,0,3,61,3.89375651717497,0.0,5.136428,21320,17
48657,10.0.3.3,10.0.5.5,60531,5001,6,0,3,61,1.1923728677143781,0.0,5.031983,330,17
65365,10.0.4.4,10.0.5.5,41764,80,6,0,3,61,0.9762559899406583,0.0,6.145929,318,17
11915,10.0.2.2,10.0.5.5,33479,5000,13,0,3,61,2.3226433968766877,0.0,5.597071,13858,17
49617,10.0.5.5,10.0.7.7,0,0,4,0,1,4,0.56067176326644,0.0,7.134299,304,1
48657,10.0.3.3,10.0.5.5,60531,5001,6,0,3,16,0.8992807103238475,0.0,6.671999,330,17
65365,10.0.4.4,10.0.5.5,41764,80,4,0,3,16,0.5270709573229329,0.0,7.589111,212,17
