flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,Srate,Drate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6593107367764518,0.0,6.066942,208,17,1,3,51.99998700000325
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1650532943920742,0.0,5.149979,270,17,1,3,44.99999250000125
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,9,0,1.5565701702697519,0.0,5.781943,13410,17,1,3,1489.999834444463
21490,s2,C1_Sanayi,10.0.2.15,10.0.5.11,52890,80,2,0,0.06009165238914044,0.0,33.282493,148,6,1,3,73.9999630000185
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,11,0,2.1129579644300813,0.0,5.205972,16390,17,1,3,1489.999864545467
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,2,1,0.12794098747540894,0.06397049373770447,15.632207,294,1,1,3,97.99996733334422
61591,s1,C1_Sanayi,10.0.1.18,10.0.5.11,51900,80,1,1,0.10480172143115553,0.10480172143115553,9.541828,128,6,1,3,63.999968000016
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,32,0,6.372911303214557,0.0,5.021253,47680,17,1,3,1489.9999534375015
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1813260700156212,0.0,5.079038,270,17,1,3,44.99999250000125
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.659750066882163,0.0,6.062902,208,17,1,3,51.99998700000325
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,47,0,9.39282012829393,0.0,5.003822,70030,17,1,3,1489.999968297873
49302,s1,C1_Sanayi,10.0.1.18,10.0.5.11,51896,80,1,1,0.054813271191893206,0.054813271191893206,18.243757,128,6,1,1,63.999968000016
48098,s1,C1_Sanayi,10.0.1.18,10.0.5.11,56442,80,1,1,0.005005382337681532,0.005005382337681532,199.784938,148,6,1,1,73.9999630000185
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1716797963151842,0.0,5.120853,270,17,1,2,44.99999250000125
48098,s1,C1_Sanayi,10.0.1.18,10.0.5.11,56442,80,1,0,0.0,0.0,0.0,54,6,1,1,53.999946000054
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,61,0,11.862416965512065,0.0,5.142291,90890,17,1,2,1489.999975573771
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6600379059769402,0.0,6.060258,208,17,1,3,51.99998700000325
18336,s1,C1_Sanayi,10.0.1.18,10.0.5.11,35422,80,1,0,0.0,0.0,0.0,74,6,1,2,73.99992600007401
61591,s1,C1_Sanayi,10.0.1.18,10.0.5.11,51900,80,1,1,0.07981145342243484,0.07981145342243484,12.52953,128,6,1,2,63.999968000016
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,1,1,0.08011537896416904,0.08011537896416904,12.481998,196,1,1,2,97.9999510000245
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1817586104409554,0.0,5.077179,270,17,1,3,44.99999250000125
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,72,0,14.384157289161719,0.0,5.005507,107280,17,1,3,1489.9999793055558
48098,s1,C1_Sanayi,10.0.1.18,10.0.5.11,56442,80,3,3,0.2937352153274952,0.2937352153274952,10.21328,384,6,1,1,63.99998933333511
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6616475188631572,0.0,6.045515,208,17,1,3,51.99998700000325
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,68,0,13.438411168742572,0.0,5.060122,101320,17,1,3,1489.9999780882356
52046,s2,C1_Sanayi,10.0.2.19,10.0.5.12,44036,5002,2,0,0.06310413731864147,0.0,31.693643,148,6,1,3,73.9999630000185
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1805114093476434,0.0,5.082543,270,17,1,2,44.99999250000125
24518,s2,C1_Sanayi,10.0.5.11,120.169.147.245,0,0,0,1,0.0,0.0,0.0,42,1,25,1,41.99995800004201
54000,s2,C1_Sanayi,10.0.5.11,102.131.76.66,0,0,0,1,0.0,0.0,0.0,42,1,25,1,41.99995800004201
20751,s2,C1_Sanayi,10.0.5.11,53.180.29.181,0,0,0,1,0.0,0.0,0.0,42,1,25,1,41.99995800004201
46197,s2,C1_Sanayi,10.0.5.11,135.90.1.130,0,0,0,1,0.0,0.0,0.0,42,1,25,1,41.99995800004201
32839,s2,C1_Sanayi,6.40.81.60,10.0.5.11,0,0,1,0,0.0,0.0,0.0,42,1,1,25,41.99995800004201
51300,s2,C1_Sanayi,10.0.5.11,206.142.21.83,0,0,0,1,0.0,0.0,0.0,42,1,25,1,41.99995800004201
4070,s2,C1_Sanayi,10.0.5.11,50.121.193.63,0,0,0,1,0.0,0.0,0.0,42,1,25,1,41.99995800004201
50840,s2,C1_Sanayi,10.0.5.11,113.191.136.123,0,0,0,1,0.0,0.0,0.0,42,1,25,1,41.99995800004201
26026,s2,C1_Sanayi,10.0.5.11,248.18.135.47,0,0,0,1,0.0,0.0,0.0,42,1,25,1,41.99995800004201
