flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,first_count,second_count,first_rate,second_rate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,N_PortP_FirstIp,N_PortP_SecondIp,label
56383,cs5,C5,10.0.6.5,10.0.9.1,16625,80,1,0,0.0,0.0,0.0,42,17,1,12,41.99995800004201,2,77,1
46299,cs5,C5,10.0.2.5,10.0.9.2,1000,10263,1,0,0.0,0.0,0.0,42,17,1,4,41.99995800004201,53,5,1
6693,s9,C5,10.0.9.1,10.0.9.3,52293,56835,0,1,0.0,0.0,0.0,46,17,12,1,45.999954000046,9,5,0
27560,s9,C5,10.0.9.1,10.0.9.3,13667,45412,0,1,0.0,0.0,0.0,46,17,12,1,45.999954000046,9,5,0
26465,s9,C5,10.0.1.3,10.0.9.2,42793,5001,2,0,0.0582770432943942,0.0,34.318831,748,17,1,4,373.9998130000935,2,5,0
9009,s9,C5,10.0.6.5,10.0.9.1,0,0,0,7,0.0,1.1613475015516432,6.027481,490,1,1,12,69.99999000000143,2,77,0
31691,s9,C5,10.0.1.3,10.0.9.2,0,0,0,2,0.0,0.0586856440389983,34.079885,800,1,1,4,399.9998000001,2,5,0
37148,s9,C5,10.0.7.2,10.0.9.1,44422,8080,1,1,0.1458648340597888,0.1458648340597888,6.855662,715,6,1,12,357.4998212500893,1,77,0
9009,cs5,C5,10.0.6.5,10.0.9.1,0,0,0,6,0.0,1.1736503754214138,5.112255,420,1,1,8,69.99998833333528,2,54,0
31691,cs5,C5,10.0.1.3,10.0.9.2,0,0,0,2,0.0,0.0588338512918516,33.994035,800,1,1,5,399.9998000001,1,5,0
34581,s9,C5,10.0.2.5,10.0.9.2,1000,9664,2,0,0.210745557720732,0.0,9.490117,84,17,1,5,41.9999790000105,42,5,1
45107,cs5,C5,10.0.6.5,10.0.9.1,16652,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
46272,cs5,C5,10.0.2.5,10.0.9.2,1000,10291,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
57407,cs5,C5,10.0.6.5,10.0.9.1,16688,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
29895,cs5,C5,10.0.2.5,10.0.9.2,1000,10299,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
46306,cs5,C5,10.0.2.5,10.0.9.2,1000,10315,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
32803,cs5,C5,10.0.6.5,10.0.9.1,16728,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
5375,cs5,C5,10.0.2.5,10.0.9.2,1000,10341,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
28713,cs5,C5,10.0.6.5,10.0.9.1,16764,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
29937,cs5,C5,10.0.2.5,10.0.9.2,1000,10355,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
35867,cs5,C5,10.0.6.5,10.0.9.1,16781,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
54445,cs5,C5,10.0.2.5,10.0.9.2,1000,10401,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
36842,cs5,C5,10.0.9.1,10.0.10.1,52110,53302,0,1,0.0,0.0,0.0,46,17,8,1,45.999954000046,10,5,0
45073,cs5,C5,10.0.6.5,10.0.9.1,16812,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
58515,cs5,C5,10.0.2.5,10.0.9.2,1000,10486,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
58551,cs5,C5,10.0.2.5,10.0.9.2,1000,10566,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
37148,cs5,C5,10.0.7.2,10.0.9.1,44422,8080,1,2,0.1394933990328643,0.2789867980657287,7.168798,1333,6,1,8,444.3331852222716,1,54,0
8228,s9,C5,10.0.2.5,10.0.9.2,0,0,0,6,0.0,1.1568758336736475,5.186382,420,1,1,5,69.99998833333528,42,5,0
29146,s9,C5,10.0.3.1,10.0.9.1,35596,8080,1,2,0.1300025129485753,0.2600050258971506,7.692159,1333,6,1,8,444.3331852222716,1,54,0
6665,s9,C5,10.0.6.5,10.0.9.1,16020,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
17936,s9,C5,10.0.6.5,10.0.9.1,16109,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
55982,s9,C5,10.0.9.1,10.0.9.3,57615,48707,0,1,0.0,0.0,0.0,46,17,8,1,45.999954000046,10,4,0
46954,s9,C5,10.0.2.5,10.0.9.2,1000,9579,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
